AT,V,AP,RH,PE
0.554108,0.576512,0.641178,0.597319,454.66
0.761473,0.745374,0.614204,0.378954,432.21
0.419263,0.32758,0.479089,0.692627,457.66
0.739377,0.683274,0.430092,0.537668,435.21
0.542776,0.392705,0.365009,0.611528,448.22
0.254674,0.290036,0.517199,0.756032,475.51
0.532578,0.668149,0.503588,0.723592,446.53
0.669688,0.568683,0.465479,0.288606,441.3
0.803116,0.782562,0.365751,0.430697,433.54
0.090085,0.243416,0.682009,0.714879,472.52
0.246459,0.345552,0.487503,0.80067,474.77
0.905949,0.777402,0.216036,0.195308,435.1
0.553258,0.612811,0.594655,0.690349,450.74
0.611615,0.706406,0.530314,0.56059,442.7
0.86119,0.76121,0.258599,0.49437,426.56
0.352691,0.301779,0.571888,0.695308,463.71
0.733711,0.73968,0.592923,0.445174,447.06
0.570538,0.576512,0.621876,0.565147,452.27
0.67847,0.686477,0.633507,0.222252,445.78
0.619547,0.764057,0.619649,0.785523,438.65
0.183286,0.274199,0.461767,0.860992,480.15
0.612748,0.66121,0.583271,0.558311,447.19
0.666006,0.410142,0.385548,0.624397,443.04
0.06034,0.258719,0.375402,0.964209,488.81
0.43881,0.576512,0.578322,0.833512,455.75
0.464306,0.42758,0.64192,0.948257,455.86
0.555807,0.38452,0.520911,0.478418,457.68
0.264873,0.261388,0.545904,0.842091,479.11
0.809348,0.868327,0.360059,0.659651,432.84
0.610482,0.66121,0.576342,0.571314,448.37
0.563173,0.39306,0.363029,0.692225,447.06
0.617847,0.424377,0.52487,0.321448,443.53
0.568272,0.642171,0.451373,0.893566,445.21
0.777337,0.732206,0.560257,0.108445,441.7
0.516147,0.738434,0.498886,0.52319,450.93
0.462606,0.43452,0.248948,0.999062,451.44
0.635127,0.561032,0.480822,0.569437,441.29
0.461756,0.346797,0.534274,0.313405,458.85
0.134844,0.325445,0.62732,0.65563,481.46
0.304533,0.321174,0.594902,0.743432,467.19
0.328329,0.288612,0.683247,0.611394,461.54
0.716431,0.488968,0.331354,0.379223,439.08
0.353258,0.309253,0.888394,0.604692,467.22
0.410198,0.337722,0.658253,0.453083,468.8
0.833711,0.829537,0.291265,0.423727,426.93
0.248159,0.220107,0.778768,0.599598,474.65
0.33966,0.335409,0.74338,0.774933,468.97
0.665439,0.82242,0.427864,0.828418,433.97
0.46034,0.441281,0.411532,0.999062,450.53
0.668839,0.599288,0.472408,0.579357,444.51
0.375637,0.272776,0.554318,0.608847,469.03
0.281586,0.814591,0.655036,0.67185,466.56
0.521813,0.474911,0.476615,0.293968,457.57
0.72238,0.608185,0.330364,0.622386,440.13
0.758074,0.791459,0.264291,0.549464,433.24
0.455807,0.32669,0.389755,0.659115,452.55
0.623796,0.818683,0.226429,0.525737,443.29
0.73966,0.883096,0.311309,0.664477,431.76
0.439943,0.345552,0.369216,0.413137,454.97
0.456941,0.670996,0.483296,0.922118,456.7
0.130028,0.258719,0.367731,0.81756,486.03
0.282436,0.259786,0.457313,0.769303,472.79
0.523229,0.567438,0.42638,0.842627,452.03
0.544759,0.513167,0.479337,0.80496,443.41
0.660057,0.746619,0.534521,0.44008,441.93
0.806516,0.811744,0.361792,0.653083,432.64
0.17932,0.193594,0.501361,0.834987,480.25
0.426346,0.253915,0.286563,0.776676,466.68
0.125779,0.261744,0.675575,0.531903,494.39
0.58187,0.517082,0.484286,0.662869,454.72
0.458074,0.56032,0.479832,0.790349,448.71
0.549008,0.304626,0.50829,0.736729,469.76
0.541926,0.347509,0.414501,0.664611,450.71
0.635127,0.59484,0.418461,0.672788,444.01
0.492068,0.584342,0.608018,0.685791,453.2
0.540227,0.578114,0.482554,0.803083,450.87
0.619263,0.685053,0.662707,0.434182,441.73
0.348725,0.251957,0.631527,0.707239,465.09
0.663456,0.698754,0.685474,0.357105,447.28
0.133994,0.248577,0.461519,0.913271,491.16
0.517564,0.66121,0.621133,0.672654,450.98
0.647592,0.679715,0.516209,0.563003,446.3
0.736827,0.967616,0.383073,0.588472,436.48
0.389235,0.296619,0.60678,0.657105,460.84
0.635977,0.785587,0.50829,0.370912,442.56
0.329745,0.287011,0.675575,0.846649,467.3
0.26204,0.271886,0.707251,0.946381,479.13
0.654391,0.479359,0.391735,0.572386,441.15
0.583003,0.599288,0.467459,0.815416,445.52
0.287252,0.272776,0.562485,0.80134,475.4
0.369405,0.272776,0.544915,0.631099,469.3
0.235127,0.289324,0.600841,0.968633,463.57
0.619263,0.770641,0.341995,0.692493,445.32
0.405949,0.335409,0.679782,0.737668,461.03
0.376771,0.316192,0.546894,0.286193,466.74
0.632578,0.614057,0.633012,0.431635,444.04
0.80085,0.745374,0.611482,0.369035,434.01
0.367139,0.347687,0.683247,0.787534,465.23
0.730595,0.782562,0.414254,0.61689,440.6
0.34221,0.346619,0.761445,0.903619,466.74
0.709348,0.89395,0.607275,0.656702,433.48
0.300283,0.27758,0.754021,0.715818,473.59
0.319263,0.291459,0.689433,0.52118,474.81
0.484986,0.33274,0.610987,0.571984,454.75
0.529462,0.432918,0.413512,0.606568,452.94
0.81898,0.778826,0.421925,0.483914,435.83
0.162606,0.246619,0.535511,0.699732,482.19
0.330878,0.340036,0.92972,0.588874,466.66
0.391218,0.262633,0.498391,0.947721,462.59
0.651275,0.698754,0.687949,0.404558,447.82
0.232861,0.289324,0.536006,0.939008,462.73
0.584136,0.673488,0.474388,0.793432,447.98
0.372238,0.248221,0.402376,0.666756,462.72
0.650708,0.588968,0.59218,0.562198,442.42
0.605949,0.410142,0.389755,0.742091,444.69
0.345609,0.242705,0.589953,0.719437,466.7
0.4983,0.698754,0.680277,0.744504,453.84
0.802833,0.746619,0.518189,0.097051,436.92
0.144476,0.190747,0.715912,0.787534,486.37
0.771388,0.617616,0.557535,0.276005,440.43
0.685836,0.670996,0.446672,0.380697,446.82
0.115581,0.251246,0.3024,0.459383,484.91
0.7,0.823488,0.380599,0.666756,437.76
0.756941,0.760142,0.504331,0.22748,438.91
0.418697,0.252313,0.373175,0.603485,464.19
0.598867,0.754982,0.420688,0.886461,442.19
0.627479,0.392705,0.383321,0.509249,446.86
0.443909,0.335231,0.643405,0.481903,457.15
0.138244,0.325445,0.674338,0.589678,482.57
0.239093,0.282918,0.360059,0.972118,476.03
0.766572,0.840214,0.390992,0.720912,428.89
0.289802,0.264591,0.623113,0.746917,472.7
0.588385,0.479359,0.399654,0.71622,445.6
0.377054,0.474911,0.537986,0.734853,464.78
0.670538,0.597687,0.597129,0.343164,440.42
0.738244,0.808363,0.273942,0.624799,428.41
0.62068,0.802669,0.439495,0.667962,438.5
0.656941,0.606228,0.369958,0.581099,438.28
0.187252,0.271886,0.729027,0.94933,476.29
0.584986,0.589502,0.46053,0.602949,448.46
0.796317,0.56637,0.38926,0.271314,438.99
0.279603,0.246619,0.618906,0.434182,471.8
0.346459,0.303915,0.491215,0.755094,471.81
0.511331,0.601068,0.574858,0.586595,449.82
0.684986,0.760142,0.500866,0.450134,442.14
0.612181,0.59484,0.416976,0.750402,441.46
0.249008,0.264413,0.457313,0.807641,477.62
0.542776,0.649644,0.459292,0.534182,446.76
0.349292,0.257295,0.484286,0.745174,472.52
0.191218,0.273132,0.702301,0.942493,471.58
0.652975,0.836833,0.204405,0.867024,440.85
0.770255,0.92847,0.456323,0.664477,431.37
0.730312,0.829359,0.389755,0.839946,437.33
0.244759,0.273132,0.563969,0.749598,469.22
0.189802,0.274377,0.757733,0.861662,471.11
0.793484,0.732206,0.447661,0.241421,439.17
0.587819,0.656584,0.475625,0.504021,445.33
0.271105,0.246619,0.636724,0.423324,473.71
0.52238,0.576512,0.578817,0.699732,452.66
0.583853,0.606228,0.352141,0.871314,440.99
0.369405,0.241103,0.534274,0.474799,467.42
0.674504,0.595374,0.423905,0.599866,444.14
0.511048,0.554626,0.684979,0.65,457.17
0.335977,0.514947,0.569908,0.668365,467.87
0.63966,0.807117,0.417966,0.75992,442.04
0.403966,0.341993,0.658995,0.568231,471.36
0.277337,0.244484,0.418708,0.999062,460.7
0.837677,0.809075,0.432071,0.291153,431.33
0.796034,0.91637,0.141054,0.628016,432.6
0.505949,0.605516,0.524128,0.698525,447.61
0.718697,0.701601,0.57857,0.51126,443.87
0.554674,0.479359,0.403613,0.726676,446.87
0.244759,0.27847,0.684979,0.915282,465.74
0.5,0.561032,0.52289,0.796113,447.86
0.615864,0.669039,0.674833,0.597855,447.65
0.610198,0.678114,0.467459,0.786595,437.87
0.211048,0.290036,0.593417,0.640214,483.51
0.24051,0.286477,0.626578,0.812466,479.65
0.541926,0.58363,0.593665,0.53445,455.16
0.603966,0.816548,0.237565,0.925335,431.91
0.310482,0.287189,0.525612,0.820912,470.68
0.750142,0.778826,0.40584,0.437265,429.28
0.490652,0.602313,0.6293,0.859249,450.81
0.641076,0.856584,0.460282,0.82882,437.73
0.524363,0.342349,0.551101,0.144638,460.21
0.530595,0.777402,0.215541,0.724665,442.86
0.293201,0.349466,0.708241,0.334584,482.99
0.744476,0.710142,0.504331,0.353887,440
0.210765,0.292883,0.998763,0.659115,478.48
0.564873,0.435231,0.547389,0.707373,455.28
0.620113,0.733096,0.227171,0.79933,436.94
0.408215,0.222598,0.729275,0.771716,461.06
0.649858,0.78452,0.521653,0.374397,438.28
0.245609,0.253025,0.468201,0.848525,472.61
0.785269,0.808363,0.267508,0.473592,426.85
0.305382,0.255516,0.615442,0.476944,470.18
0.614448,0.517082,0.480574,0.572788,455.38
0.770538,0.733096,0.335313,0.429759,428.32
0.224929,0.304804,0.437515,0.778418,480.35
0.50255,0.554626,0.675823,0.70429,455.56
0.545042,0.586655,0.501114,0.546649,447.66
0.649008,0.770641,0.342737,0.716622,443.06
0.549008,0.596085,0.527097,0.581769,452.43
0.253824,0.2879,0.669389,0.610858,477.81
0.76119,0.861388,0.292749,0.823727,431.66
0.794901,0.863879,0.288048,0.653351,431.8
0.6,0.770641,0.34051,0.697855,446.67
0.647309,0.62153,0.621381,0.455764,445.26
0.873088,0.792349,0.518683,0.215818,425.72
0.837677,0.835053,0.391982,0.639544,430.58
0.624929,0.621174,0.644642,0.691689,439.86
0.673938,0.601246,0.50532,0.555764,441.11
0.731161,0.814591,0.463004,0.365147,434.72
0.801416,0.748932,0.528087,0.180697,434.01
0.294051,0.281317,0.656768,0.534987,475.64
0.320113,0.288612,0.681514,0.653619,460.44
0.750142,0.770641,0.311062,0.585255,436.4
0.329745,0.273488,0.638703,0.915818,461.03
0.259773,0.2879,0.669389,0.593432,479.08
0.698867,0.779004,0.406335,0.784853,435.76
0.31898,0.358541,0.552586,0.711662,460.14
0.672805,0.89395,0.605791,0.586461,442.2
0.591218,0.452313,0.394457,0.599732,447.69
0.766289,0.859609,0.34051,0.571984,431.15
0.591785,0.679715,0.530314,0.619303,445
0.73881,0.851423,0.208612,0.808579,431.59
0.339093,0.340036,0.86736,0.610322,467.22
0.745892,0.463879,0.476862,0.363405,445.33
0.283003,0.351068,0.502846,0.859517,470.57
0.252125,0.253559,0.639198,0.644772,473.77
0.643909,0.62153,0.607028,0.447453,447.67
0.275637,0.261388,0.541698,0.824263,474.29
0.783569,0.817794,0.37565,0.555496,437.14
0.777054,0.777402,0.253155,0.236193,432.56
0.359773,0.292349,0.416481,0.73807,459.14
0.597734,0.617616,0.572631,0.457909,446.19
0.714164,0.825801,0.333828,0.623861,428.1
0.330878,0.340036,0.922791,0.584316,468.46
0.805382,0.736477,0.620144,0.403485,435.02
0.605666,0.413523,0.234843,0.477614,445.52
0.450992,0.270285,0.259094,0.657641,462.69
0.476204,0.638968,0.652561,0.640617,455.75
0.312748,0.260498,0.569166,0.580295,463.74
0.864589,0.788612,0.471665,0.192091,439.79
0.65949,0.597687,0.596387,0.369973,443.26
0.783003,0.778826,0.406088,0.367426,432.04
0.427762,0.330961,0.505568,0.728016,465.86
0.347875,0.364947,0.399901,0.784584,465.6
0.252691,0,0.407325,0.999866,469.43
0.605949,0.425979,0.260084,0.726676,440.75
0.181303,0.241103,0.567434,0.850268,481.32
0.212181,0.270463,0.736204,0.678016,479.87
0.429462,0.245552,0.317001,0.584048,458.59
0.61983,0.829359,0.414006,0.904424,438.62
0.660623,0.606406,0.482306,0.701877,445.59
0.228045,0.323843,0.550359,0.66126,481.87
0.269688,0.287189,0.512002,0.846381,475.01
0.712181,0.410142,0.387033,0.501072,436.54
0.373654,0.272242,0.578817,0.858713,456.63
0.536827,0.66121,0.562732,0.7437,451.69
0.353541,0.253203,0.446424,0.924531,463.04
0.507932,0.753559,0.365999,0.51555,446.1
0.704533,0.614947,0.421925,0.603351,438.67
0.352125,0.285409,0.66345,0.6,466.88
0.571388,0.410142,0.384311,0.794906,444.6
0.593201,0.605516,0.55704,0.74866,440.26
0.184986,0.27758,0.752042,0.856434,483.92
0.283003,0.281851,0.601089,0.766086,475.19
0.1983,0.343772,0.746597,0.916488,479.24
0.8,0.859786,0.545904,0.603753,434.92
0.402266,0.713523,0.522395,0.832708,454.16
0.564873,0.59484,0.483296,0.831367,447.58
0.343626,0.282918,0.7122,0.654692,467.9
0.777337,0.778826,0.430092,0.560188,426.29
0.581303,0.364947,0.368968,0.510054,447.02
0.414164,0.292349,0.311309,0.68807,455.85
0.274504,0.264413,0.431081,0.704021,476.46
0.615297,0.775445,0.362287,0.584584,437.48
0.567989,0.424377,0.537491,0.371984,452.77
0.123513,0.248577,0.487008,0.908311,491.54
0.803966,0.701601,0.602079,0.226676,438.41
0.27932,0.29484,0.666172,0.764343,476.1
0.383286,0.20694,0.3707,0.925335,464.58
0.274504,0.274377,0.767632,0.814343,467.74
0.671955,0.566014,0.42341,0.630161,442.12
0.551275,0.571886,0.535511,0.739946,453.34
0.752408,0.778826,0.434298,0.621582,425.29
0.752975,0.463879,0.466469,0.294638,449.63
0.339093,0.363345,0.801287,0.940483,462.88
0.362323,0.301779,0.564712,0.689946,464.67
0.093201,0.181673,0.848305,0.736327,489.96
0.147025,0.226335,0.677555,0.698525,482.38
0.693768,0.935765,0.4098,0.712601,437.95
0.814448,0.829537,0.293244,0.445174,429.2
0.546176,0.37847,0.498391,0.660054,453.34
0.747875,0.794662,0.437763,0.345576,442.47
0.39745,0.432918,0.550606,0.869303,462.6
0.232861,0.27758,0.783964,0.878552,478.79
0.525779,0.474911,0.481317,0.496113,456.11
0.549008,0.441281,0.319723,0.786997,450.33
0.904249,0.792171,0.354368,0.232842,434.83
0.794901,0.859786,0.549616,0.206434,433.43
0.504533,0.669039,0.689681,0.683244,456.02
0.230028,0.27242,0.623361,0.592225,485.23
0.215864,0.209609,0.498391,0.662601,473.57
0.352125,0.253025,0.452363,0.601743,469.94
0.316147,0.435409,0.390992,0.88378,452.07
0.164023,0.279004,0.715912,0.85,475.32
0.186402,0.193594,0.5073,0.852145,480.69
0.668555,0.403915,0.500619,0.280965,444.01
0.470822,0.54573,0.68102,0.469035,465.17
0.240793,0.257295,0.494432,0.846515,480.61
0.268555,0.287189,0.5073,0.852413,476.04
0.589235,0.425979,0.262806,0.770241,441.76
0.779887,0.829537,0.30438,0.665282,428.24
0.483286,0.753559,0.274932,0.828284,444.77
0.322946,0.364947,0.38827,0.80563,463.1
0.268839,0.342349,0.626083,0.886059,470.5
0.776771,0.847509,0.350161,0.508177,431
0.735127,0.78363,0.281613,0.625871,430.68
0.77762,0.74395,0.339272,0.603485,436.42
0.677337,0.435231,0.57659,0.463003,452.33
0.612465,0.686477,0.439248,0.85429,440.16
0.673938,0.683274,0.427864,0.56126,435.75
0.580453,0.341815,0.385796,0.563271,449.74
0.739377,0.834164,0.441722,0.606434,430.73
0.808499,0.921886,0.412274,0.510188,432.75
0.565722,0.392705,0.370948,0.551206,446.79
0.152408,0.285231,0.62435,0.873995,486.35
0.540227,0.612811,0.563474,0.667292,453.18
0.633994,0.442527,0.565207,0.458579,458.31
0.231445,0.2879,0.66345,0.740349,480.26
0.613598,0.461566,0.470181,0.65067,448.65
0.695184,0.429537,0.489483,0.211528,458.41
0.795467,0.699822,0.333581,0.445308,435.39
0.495184,0.441281,0.435536,0.968097,450.21
0.443909,0.31637,0.638208,0.660724,459.59
0.66289,0.89395,0.601336,0.593566,445.84
0.608782,0.416726,0.625588,0.66756,441.08
0.385552,0.222242,0.420688,0.807507,467.33
0.556091,0.671352,0.585746,0.865282,444.19
0.783003,0.763523,0.372927,0.483512,432.96
0.789802,0.401601,0.246474,0.257373,438.09
0.388385,0.20694,0.345707,0.859786,467.9
0.273654,0.325801,0.48973,0.629357,475.72
0.225496,0.166014,0.861915,0.662466,477.51
0.588952,0.791459,0.333581,0.724263,435.13
0.182153,0.253559,0.621133,0.708579,477.9
0.430595,0.335231,0.650582,0.47815,457.26
0.505099,0.342349,0.568919,0.294906,467.53
0.249292,0.288612,0.6976,0.904826,465.15
0.289802,0.262278,0.532789,0.859115,474.28
0.775637,0.717972,0.518683,0.334316,444.49
0.564873,0.351068,0.526107,0.258445,452.84
0.61898,0.92847,0.386291,0.801072,435.38
0.715014,0.889146,0.271962,0.769169,433.57
0.788102,0.789146,0.399654,0.558981,435.27
0.464306,0.253915,0.30834,0.717024,468.49
0.861473,0.808541,0.420935,0.488874,433.07
0.710198,0.857651,0.295966,0.922252,430.63
0.771671,0.718505,0.504826,0.46193,440.74
0.20085,0.259786,0.827023,0.936997,474.49
0.484986,0.413523,0.317496,0.79571,449.74
0.727479,0.683274,0.425637,0.499196,436.73
0.603116,0.808363,0.33754,0.874665,434.58
0.266572,0.316192,0.602574,0.741823,473.93
0.854391,0.967616,0.349913,0.405898,435.99
0.326062,0.317794,0.4098,0.666756,466.83
0.846176,0.762989,0.306855,0.157909,427.22
0.61983,0.683452,0.5073,0.723056,444.07
0.34051,0.287011,0.673596,0.82748,469.57
0.467705,0.732206,0.551596,0.749866,459.89
0.261756,0.273132,0.792378,0.681769,479.59
0.572805,0.699822,0.354368,0.672788,440.92
0.238527,0.286477,0.682009,0.796113,480.87
0.626346,0.73274,0.421678,0.493432,441.9
0.78102,0.788612,0.456818,0.31756,430.2
0.440227,0.311388,0.537738,0.651475,465.16
0.226629,0.33968,0.700322,0.87118,471.32
0.089518,0.271886,0.693393,0.92118,485.43
0.094618,0.261744,0.479584,0.506032,495.35
0.558924,0.589502,0.444444,0.715013,449.12
0.173654,0.296441,0.329869,0.87681,480.53
0.480453,0.450178,0.54442,0.82815,457.07
0.563173,0.793238,0.440732,0.740483,443.67
0.233994,0.343772,0.756001,0.876542,477.52
0.34051,0.254093,0.485771,0.595308,472.95
0.244759,0.254982,0.272952,0.856434,472.54
0.276204,0.273132,0.568176,0.677212,469.17
0.618414,0.795018,0.450384,0.774665,435.21
0.245609,0.264413,0.294976,0.892761,477.78
0.319547,0.257829,0.494185,0.440483,475.89
0.250992,0.264591,0.615194,0.797587,483.9
0.304816,0.245552,0.585004,0.849196,476.2
0.358074,0.319929,0.558773,0.774397,462.16
0.351558,0.222242,0.454096,0.843566,471.05
0.146176,0.282918,0.438258,0.956032,484.71
0.532578,0.685053,0.557783,0.647453,446.34
0.364306,0.301068,0.354368,0.530965,469.02
0.771955,0.845196,0.280624,0.587802,432.12
0.356091,0.262278,0.559762,0.746247,467.28
0.869688,0.79395,0.504826,0.382172,429.66
0.28272,0.351068,0.501609,0.852681,469.49
0.193768,0.270463,0.750804,0.714343,485.87
0.224929,0.274911,0.819352,0.789276,481.95
0.206799,0.260854,0.945558,0.770241,479.03
0.611331,0.778826,0.447909,0.872654,434.5
0.353824,0.514947,0.551101,0.666622,464.9
0.444193,0.686477,0.671368,0.764611,452.71
0.829745,0.785587,0.444197,0.265952,429.74
0.508782,0.556762,0.687454,0.546515,457.09
0.759207,0.835053,0.463252,0.265013,446.77
0.331728,0.286833,0.533779,0.557105,460.76
0.331728,0.275267,0.381589,0.785255,471.95
0.446459,0.370996,0.524623,0.740617,453.29
0.747025,0.617616,0.580302,0.315952,441.61
0.353541,0.370463,0.596882,0.82748,464.73
0.46204,0.326157,0.594407,0.367158,464.68
0.834561,0.863879,0.268003,0.581233,430.59
0.692068,0.935765,0.527097,0.799598,438.01
0.15949,0.279004,0.716407,0.844504,479.08
0.792351,0.879359,0.405593,0.395845,436.39
0.610765,0.713523,0.578075,0.309383,447.07
0.249575,0.253025,0.470428,0.834987,479.91
0.114164,0.314235,0.519426,0.829223,489.05
0.359773,0.506406,0.583271,0.498525,463.17
0.269122,0.296441,0.205147,0.928954,471.26
0.267422,0.27242,0.463994,0.509115,480.49
0.208782,0.250178,0.804751,0.588472,473.78
0.510198,0.58363,0.590695,0.658177,455.5
0.650425,0.588078,0.516951,0.737399,446.27
0.22238,0.279359,0.700817,0.792761,482.2
0.570822,0.612811,0.589706,0.630563,452.48
0.475354,0.31637,0.470923,0.362869,464.48
0.649858,0.792349,0.554318,0.756702,438.1
0.639093,0.678114,0.491957,0.665684,445.6
0.787252,0.754982,0.432566,0.341689,442.43
0.666006,0.638612,0.462014,0.731099,436.67
0.406232,0.293416,0.585251,0.750938,466.56
0.394618,0.814591,0.662212,0.541287,457.29
0.117847,0.193772,0.909676,0.820107,487.03
0.39745,0.486833,0.830488,0.496113,464.93
0.369122,0.342883,0.653056,0.426408,466
0.295751,0.416904,0.607523,0.849196,469.52
0.724363,0.795018,0.452611,0.626005,428.88
0.196884,0.286833,0.633507,0.662466,474.3
0.388952,0.248221,0.415739,0.611662,461.06
0.478754,0.249644,0.524623,0.499464,465.57
0.318697,0.292171,0.480327,0.398794,467.67
0.309065,0.273132,0.572383,0.616756,466.99
0.510482,0.249644,0.515714,0.450402,463.72
